procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 8177616 132720 7477028    0    0     0     0 285605 229585 20 40 40  0  0
 3  0      0 8175924 132728 7476964    0    0     0    12 281582 225824 20 39 41  0  0
 6  0      0 8177152 132728 7477316    0    0     0     0 281394 225087 19 40 40  0  0
 6  0      0 8177200 132728 7477508    0    0     0     0 281830 223465 19 40 41  0  0
 3  0      0 8178176 132728 7477188    0    0     0     0 280242 228611 20 40 40  0  0
 3  0      0 8177740 132728 7477348    0    0     0     0 286142 228541 21 39 39  0  0
 5  0      0 8177464 132728 7477348    0    0     0     0 284948 225505 20 40 40  0  0
 4  0      0 8177716 132736 7477284    0    0     0    12 278577 223640 19 40 41  0  0
 5  0      0 8178924 132736 7477188    0    0     0     0 288913 224262 19 41 39  0  0
 7  0      0 8177972 132736 7477092    0    0     0     0 231807 212587 20 38 42  0  0
 5  0      0 8177420 132736 7477316    0    0     0     4 228357 203700 19 39 42  0  0
 9  0      0 8176692 132736 7477348    0    0     0     0 229887 206272 19 39 42  0  0
10  0      0 8177324 132736 7477700    0    0     0     0 225426 213757 19 39 42  0  0
 3  0      0 8176584 132744 7477444    0    0     0    12 228195 201520 20 38 42  0  0
 4  0      0 8177904 132744 7477252    0    0     0     0 223648 210205 19 40 42  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 8177660 132744 7477348    0    0     0     0 227076 203001 20 39 41  0  0
 7  0      0 8177248 132744 7477604    0    0     0     0 220667 211808 19 38 42  0  0
 6  0      0 8177108 132744 7477476    0    0     0     0 233961 213773 19 40 42  0  0
 3  0      0 8175876 132744 7477256    0    0     0     0 229406 203779 20 38 42  0  0
 8  0      0 8177032 132752 7477288    0    0     0    12 229456 207561 20 37 43  0  0
 5  0      0 8177172 132760 7477280    0    0     0    12 232593 209891 19 39 42  0  0
 4  0      0 8177056 132760 7477416    0    0     0     0 229994 201833 19 39 42  0  0
 6  0      0 8177608 132760 7477160    0    0     0     0 231637 209015 19 39 42  0  0
 5  0      0 8176796 132760 7477352    0    0     0     0 226633 205418 20 38 42  0  0
 8  0      0 8178152 132760 7477288    0    0     0     0 229525 203857 20 38 42  0  0
20  0      0 8177412 132768 7477480    0    0     0    12 221176 200390 19 38 43  0  0
10  0      0 8177008 132768 7477256    0    0     0     0 227667 210852 19 39 42  0  0
 1  0      0 8177364 132768 7477192    0    0     0     0 230895 213287 19 39 42  0  0
 5  0      0 8176988 132768 7477192    0    0     0     0 225041 208361 18 38 43  0  0
 8  0      0 8177276 132768 7476872    0    0     0     0 233314 205901 20 39 41  0  0
 5  0      0 8177644 132768 7477416    0    0     0     0 233453 209076 20 39 41  0  0
 2  0      0 8177448 132776 7477160    0    0     0    12 234117 210430 20 39 41  0  0
 1  0      0 8177020 132776 7477544    0    0     0     0 230949 213396 19 39 42  0  0
 6  0      0 8176868 132776 7477160    0    0     0     0 226188 203515 19 39 42  0  0
 5  0      0 8177600 132776 7477384    0    0     0     0 234317 213446 20 38 42  0  0
 6  0      0 8176972 132776 7477352    0    0     0     0 226991 208435 19 38 42  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8177988 132784 7477128    0    0     0    12 229988 205370 19 39 42  0  0
 4  0      0 8176828 132784 7477288    0    0     0     0 232097 206290 20 38 42  0  0
 3  0      0 8177340 132784 7477256    0    0     0     0 229684 211571 19 39 42  0  0
 6  0      0 8176616 132784 7477064    0    0     0     0 230039 215333 19 39 42  0  0
 6  0      0 8177796 132784 7477352    0    0     0     0 230397 216636 20 38 42  0  0
 1  0      0 8176956 132784 7477320    0    0     0     8 234521 205945 19 39 42  0  0
 3  0      0 8177336 132792 7477288    0    0     0    20 228672 213157 19 38 43  0  0
 4  0      0 8176672 132792 7477096    0    0     0     0 226109 206439 20 39 42  0  0
 5  0      0 8179052 132792 7476840    0    0     0     0 228492 211528 19 39 42  0  0
